DISTRITO,mean
MORONA,23.00898028325768
YAGUAS,23.00502794989224
RAMON CASTILLA,22.972546548045152
PASTAZA,22.91981959987331
PEBAS,22.878972773331064
LAS AMAZONAS,22.814834299395162
IQUITOS,22.780908203125
PUTUMAYO,22.77923931782472
INDIANA,22.761414683948864
YAVARI,22.747570878864604
PUNCHANA,22.717701577240568
NAUTA,22.706025523190043
URARINAS,22.699431678921567
FERNANDO LORES,22.69559375
AGUAS VERDES,22.688586044311524
