DISTRITO,mean
CAPAZO,-5.191071134000211
SUSAPAYA,-5.157803344726562
TARATA,-4.99573587690081
TICACO,-4.41739467274059
SAN ANTONIO DE CHUCA,-4.390305680495042
CANDARAVE,-4.359306534476902
CONDOROMA,-4.122946506076389
PARATIA,-4.094574913611779
CARUMAS,-3.411974711357793
SAN JUAN DE TARUCANI,-3.343182144165039
TUTI,-3.25811903817313
PISACOMA,-3.248724688905658
AJOYANI,-3.141027245154748
CALLALLI,-3.001007843017578
CORANI,-2.956277419581558
